long,lat
6.607908,46.12656
5.942059,45.905419
6.408365,46.073899
6.024772,46.119875
6.450358,46.211973
6.139489,46.122556
6.660953,46.228015
6.602955,46.239392
6.640193,46.272631
6.384705,46.218413
6.329425,46.194032
6.438896,46.194226
26.9436,37.72
27.2692,36.8986
12.510562,37.898199
26.820607,37.725508
27.2881,36.8728
27.2706,36.8933
27.2672,36.9003
27.2419,36.8839
6.9324,46.2577
7.17,47.36
7.77,47.4
3.827619,46.631706
4.771038,46.461829
4.548025,48.316911
6.397096,47.231908
5.335637,46.161401
5.73893,46.84486
5.929032,46.904435
5.570168,46.469118
5.985511,46.507571
4.3214,46.1003
5.477423,46.338108
3.194485,46.700081
1.704148,44.806104
5.348506,45.345861
6.817022,46.248777
4.386648,46.073875
4.27209,45.943057
3.389824,45.715969
4.26116,47.084456
5.022054,47.550434
4.808375,47.681951
4.706854,47.91191
4.285617,48.216746
6.580808,47.710996
6.41298,47.901408
6.160579,47.434481
7.447,47.5818
5.445085,47.758989
5.438836,47.919432
5.435534,47.972671
6.576118,47.375894
4.070443,47.804627
3.033353,47.882663
3.374624,47.686788
3.824982,47.942859
3.82161,47.984052
-1.383365,46.832733
4.131065,45.139464
4.03377,45.7956
5.488194,46.389778
2.166484,45.950872
4.13952,48.055038
3.977708,47.841055
2.68828,43.69723
5.286941,47.11964
4.616739,47.348564
4.323491,46.049066
1.464997,44.79324
6.34354,47.289664
6.31063,47.071705
4.652399,45.839204
5.885416,45.461727
2.116955,44.588557
3.524282,46.451262
5.396609,46.937265
5.898031,46.745113
5.899274,46.876481
5.829404,46.647375
5.734424,46.700077
6.245613,47.397863
5.822052,46.220572
5.079032,47.880009
3.846463,48.048431
4.040049,47.580575
5.894141,48.045636
6.490675,47.559816
3.301518,46.775096
3.092567,46.984012
4.158695,48.14914
4.098894,48.069629
3.96,48.04683
4.144866,46.040264
4.225665,46.032681
5.884466,47.235553
6.287643,47.411344
6.705995,47.3444
6.488393,47.276337
4.871404,47.66246
4.519904,47.889521
4.49525,47.755441
2.430229,47.562258
2.657288,44.901948
4.463584,45.800311
3.692305,47.897971
2.211421,44.655674
4.518942,47.509213
4.647654,47.529134
4.259224,47.56251
4.409383,47.346284
4.41932,46.076757
5.37824,46.142471
4.266478,47.940487
4.379696,48.164165
3.283857,44.870466
5.824937,46.858167
5.548123,46.361027
6.074478,46.770902
6.14473,46.77578
5.90833,46.534504
5.898927,47.011834
5.552419,47.030203
5.873521,46.827757
5.66918,46.688766
0.395885,45.19966
19.871631,43.746055
19.5789,43.9683
-0.800254,47.454648
6.430158,47.202697
4.498094,48.097795
2.305274,46.808052
5.789587,45.966111
5.30432,44.935381
5.178477,44.873621
1.953329,45.011769
1.342642,45.072974
-0.805378,47.552015
4.26268,47.47069
4.316515,47.400911
4.565988,47.547014
5.717379,46.773733
6.049554,46.704058
5.642499,46.603347
5.556316,46.825271
5.530204,46.903182
5.80105,46.62353
6.292869,47.138023
6.211505,47.270825
6.117755,46.957367
6.200533,47.335106
5.65791,46.205927
6.505108,47.942199
5.877778,47.971061
6.412979,47.901407
5.399323,47.465813
6.750087,48.572034
5.243999,47.786529
5.305842,47.638207
5.172779,47.738982
6.207947,47.150085
6.214874,46.874163
6.211662,47.179769
6.105067,47.166353
6.402818,47.504538
6.272707,46.841711
6.54089,46.987616
6.612028,47.272827
6.29727,47.226567
4.680354,47.988793
4.848163,46.953736
4.317348,47.366946
4.66396,47.569461
3.992975,47.986869
4.232704,48.220356
4.146883,48.200643
4.960853,46.202143
