long,lat
3.560294,45.025752
5.631117,47.367374
5.556072,46.755326
3.689628,45.065205
5.552664,45.482012
5.11537,46.870787
2.23905,45.307753
5.686021,47.391271
2.499227,45.706519
4.510078,46.015599
3.074539,45.664093
3.062738,45.493381
3.951165,45.14284
3.981935,45.317229
3.995774,46.081812
4.851018,46.031663
4.286089,46.327515
4.017151,45.430795
4.183789,45.290558
4.133107,46.38141
4.126118,46.525379
4.740233,46.481424
5.122484,46.291281
4.01229,45.287987
3.339954,45.294983
3.828036,46.129903
4.060671,45.672432
4.446117,45.646438
3.864144,45.793057
4.967767,46.275553
3.69011,45.828554
2.932175,45.162255
4.50357,45.832502
4.076568,45.831768
3.974327,45.771867
3.218864,45.111516
4.163288,46.202248
4.369002,46.235534
4.007719,44.934204
3.267938,45.114808
2.998791,45.473862
3.379411,45.387117
5.274458,46.385453
4.092269,45.543938
3.770522,46.195227
5.792811,45.409695
4.547778,46.772716
6.112224,47.046813
4.875167,46.307332
4.899044,46.247203
3.861897,46.860767
5.547559,46.307686
3.364696,45.512365
3.622099,45.821574
3.75481,45.677462
3.286523,45.443579
3.462186,46.177995
5.692164,47.156697
2.214407,46.035731
3.547286,45.305567
3.294395,45.3356
3.763476,44.996288
4.284684,46.293421
4.691994,46.600693
4.600775,46.517519
4.291171,46.715883
4.071014,46.32354
3.936683,46.280623
